ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"74cEPQ","01/01/18","01/01/21","f","1",0,149770,150504,"off",0,5202,50000,"f",
,,,,,,,,1,174454,176358,"off",1,55624,100490,"f",
,,,,,,,,2,194310,196350,"off",2,105196,150504,"f",
,,,,,,,,3,199750,201756,"off",3,155176,207635,"f",
,,,,,,,,4,221000,222666,"off",4,212228,228874,"f",
,,,,,,,,5,226134,228752,"off",5,233376,279106,"f",
,,,,,,,,6,251056,252824,"off",6,282846,306918,"f",
,,,,,,,,7,253504,255340,"off",7,311304,317356,"f",
,,,,,,,,8,276760,279106,"off",8,319532,348636,"t",
,,,,,,,,9,303518,306918,"off",9,349826,359448,"t",
,,,,,,,,10,315554,317356,"off",10,360468,376584,"t",
,,,,,,,,11,330752,332690,"off",11,377978,385730,"t",
,,,,,,,,12,335036,336464,"off",12,396950,413032,"t",
,,,,,,,,13,338640,340408,"off",13,413916,423501,"t",
,,,,,,,,14,346732,348636,"off",,,,,
,,,,,,,,15,356082,357646,"off",,,,,
,,,,,,,,16,358000,359448,"off",,,,,
,,,,,,,,17,365194,366792,"off",,,,,
,,,,,,,,18,374884,376584,"off",,,,,
,,,,,,,,19,383860,385730,"off",,,,,
,,,,,,,,20,408374,410040,"off",,,,,
,,,,,,,,21,411162,413032,"off",,,,,
,,,,,,,,22,421770,423501,"off",,,,,
