"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",39.181,6.784,3.409,40.887,5.078,NA,40.887,5.078,NA,40.887,5.078,NA,40.887,5.078,NA
"2",1,2,"f",35.14,11.285,1.981,44.315,2.11,NA,44.315,2.11,NA,38.458,7.967,NA,38.458,7.967,NA
"3",1,3,"f",22.562,9.421,0,25.847,6.136,NA,25.847,6.136,NA,25.847,6.136,NA,25.847,6.136,NA
"4",1,4,"f",20.829,0,13.203,20.829,0,NA,20.829,0,NA,20.829,0,NA,20.829,0,NA
"5",1,5,"f",7.623,10.026,0,7.623,10.026,NA,7.623,10.026,NA,7.623,10.026,NA,7.623,10.026,NA
"6",1,6,"f",23.393,14.954,0,33.489,4.858,NA,30.202,8.145,NA,30.202,8.145,NA,30.202,8.145,NA
"7",1,7,"f",8.338,2.354,0,8.338,2.354,NA,8.338,2.354,NA,8.338,2.354,NA,8.338,2.354,NA
"8",1,8,"f",4.553,3.567,0,4.553,3.567,NA,4.553,3.567,NA,4.553,3.567,NA,4.553,3.567,NA
"9",1,9,"t",9.514,5.335,0,9.514,5.335,NA,9.514,5.335,NA,9.514,5.335,NA,9.514,5.335,NA
"10",1,10,"t",28.787,7.389,0,30.693,5.483,NA,30.693,5.483,NA,30.693,5.483,NA,30.693,5.483,NA
